date,A005930,A000660,A035720,A035420,A114800
2013-03-04,30780.0,26000.0,18920.0,86200.95000000003,7350.0
2013-03-05,31000.0,27000.0,19000.0,86044.22100000003,7325.0
2013-03-06,31200.0,28000.0,18920.0,84633.66000000003,7330.0
2013-03-07,30400.0,28150.0,18880.0,84006.74400000004,7395.0
2013-03-08,29980.0,28250.0,18660.0,85887.49200000001,7395.0
2013-03-11,30160.0,28600.0,18560.0,82752.91200000003,7405.0
2013-03-12,29880.0,28100.0,18540.0,81969.26700000004,7470.0
2013-03-13,30540.0,28300.0,18020.0,82909.64100000003,7445.0
2013-03-14,30400.0,28900.0,17740.0,82439.45400000001,7435.0
2013-03-15,29600.0,28800.0,18320.0,82596.18300000003,7515.0
2013-03-18,28900.0,28400.0,18160.0,82752.91200000003,7580.0
2013-03-19,29500.0,28650.0,18380.0,85574.03400000001,7550.0
2013-03-20,29200.0,28600.0,18320.0,84320.20200000003,7625.0
2013-03-21,29140.0,28050.0,18300.0,84947.11800000003,7675.0
2013-03-22,29100.0,28300.0,18340.0,86200.95000000003,7695.0
2013-03-25,29900.0,29050.0,18340.0,84790.38900000002,7555.0
2013-03-26,30180.0,29500.0,18400.0,83536.55700000003,7545.0
2013-03-27,30080.0,29450.0,18300.0,84633.66000000003,7480.0
2013-03-28,30200.0,29250.0,18240.0,84006.74400000004,7480.0
2013-03-29,30540.0,28750.0,18340.0,86827.86600000002,7435.0
2013-04-01,30240.0,28650.0,18580.0,92156.65200000002,7465.0
2013-04-02,30500.0,28400.0,18260.0,90119.17500000002,7535.0
2013-04-03,30420.0,28900.0,17980.0,90119.17500000002,7555.0
2013-04-04,30120.0,29200.0,18100.0,89805.71700000002,7660.0
2013-04-05,30100.0,28550.0,17900.0,89648.98800000003,7785.0
2013-04-08,30400.0,27900.0,17180.0,86984.59500000003,7770.0
2013-04-09,30560.0,27800.0,17080.0,86827.86600000002,7785.0
2013-04-10,30420.0,27950.0,17360.0,85260.57600000003,7730.0
2013-04-11,30800.0,29000.0,17340.0,87768.24000000003,7660.0
2013-04-12,30340.0,28800.0,17000.0,91529.73600000002,7820.0
2013-04-15,30460.0,29150.0,16460.0,90119.17500000002,7790.0
2013-04-16,30560.0,29100.0,17480.0,95447.96100000002,7810.0
2013-04-17,30360.0,28750.0,17460.0,92783.568,7820.0
2013-04-18,29660.0,27900.0,16900.0,90902.82000000002,7925.0
2013-04-19,29500.0,28800.0,17440.0,91216.27800000002,7890.0
2013-04-22,30060.0,29000.0,17640.0,90589.36200000002,7825.0
2013-04-23,29660.0,28850.0,18200.0,91216.27800000002,7855.0
2013-04-24,29720.0,29100.0,18160.0,90589.36200000002,7780.0
2013-04-25,29880.0,29500.0,18160.0,90746.091,7740.0
2013-04-26,29720.0,29450.0,18160.0,89805.71700000002,7750.0
2013-04-29,29620.0,29550.0,18300.0,89962.44600000003,7775.0
2013-04-30,30400.0,29900.0,18000.0,92783.568,7670.0
2013-05-02,30560.0,29450.0,18160.0,94037.40000000002,7725.0
2013-05-03,30700.0,29550.0,18200.0,93723.94200000002,7690.0
2013-05-06,30280.0,28900.0,18340.0,93097.02600000004,7710.0
